구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
이동화장실,복성교,대구광역시 군위군 소보면 복성리 131-1,대구광역시 군위군 소보면 복성리 131-1,1,1,09:00~24:00,37.57871896,126.8136575
이동화장실,사리교,대구광역시 군위군 소보면 사리리 189-1,대구광역시 군위군 소보면 사리리 189-1,1,1,09:00~24:00,37.56671867,126.8067375
이동화장실,산호지 도로변,대구광역시 군위군 소보면 산법리 산 4-2,대구광역시 군위군 소보면 산법리 산 4-2,1,1,09:00~24:00,37.57034251,126.817051
이동화장실,산호지 중간지점,대구광역시 군위군 소보면 산법리 산 71,대구광역시 군위군 소보면 산법리 산 71,1,1,09:00~24:00,37.55878281,126.8100743
이동화장실,달천교 옆,대구광역시 군위군 소보면 봉황리 952,대구광역시 군위군 소보면 봉황리 952,1,1,09:00~24:00,37.5531163,126.8331774
개방화장실,화수주유소 화장실,대구광역시 군위군 삼국유사면 동부로 305,대구광역시 군위군 삼국유사면 화수리 939-1,1,1,,36.126963,128.752555
개방화장실,삼국유사농협주유소,대구광역시 군위군 삼국유사면 삼국유사로 452,대구광역시 군위군 삼국유사면 학성리 397,1,2,08:20~17:20,36.124101,128.794576
공중화장실,병풍암 앞 화장실,,대구광역시 군위군 삼국유사면 화북리 156-4,1,1,,36.122464,128.785442
공중화장실,화수교 앞 화장실,,대구광역시 군위군 삼국유사면 화수리 1256-14,1,1,,36.126365,128.754495
공중화장실,아미산공중화장실,대구광역시 군위군 삼국유사면 삼국유사로 1122,대구광역시 군위군 삼국유사면 양지리 59-2,3,3,,36.169199,128.838982
공중화장실,신비의소나무 앞,대구광역시 군위군 삼국유사면 학암1길 56-45,대구광역시 군위군 삼국유사면 학암리 843,1,3,,36.176258,128.875778
공중화장실,일연폭포주차장,대구광역시 군위군 삼국유사면 화북3길 38-14,대구광역시 군위군 삼국유사면 화북리 202-1,1,3,,36.119048,128.788567
공중화장실,학소대(인각사 앞),,대구광역시 군위군 삼국유사면 화북리 607-2,1,3,,36.128551,128.779131
공중화장실,용아교차로 주차장,,대구광역시 군위군 삼국유사면 학성리 513,1,1,,36.136238,128.800775
공중화장실,면민운동장,,대구광역시 군위군 삼국유사면 학성리 415,1,2,,36.124694,128.794815
공중화장실,하늘전망대 공중화장실,,대구광역시 군위군 삼국유사면 화북리 산 229-16,1,1,,36.098971,128.767123
공중화장실,화산 체험관 공중화장실,대구광역시 군위군 삼국유사면 화산산성길 33,대구광역시 군위군 삼국유사면 화북리 1270-2,1,1,,36.104615,128.774941
개방화장실,삼국유사면사무소화장실,대구광역시 군위군 삼국유사면 삼국유사로 448,대구광역시 군위군 삼국유사면 학성리 397-10,11,11,09:00-18:00,36.123552,128.794746
공중화장실,삼영주유소 화장실,"대구광역시 군위군 산성면 치산효령로 824, 삼영주유소",대구광역시 군위군 산성면 백학리 45,1,1,,36.073516,128.709658
공중화장실,삼국유사군위휴게소 화장실,"대구광역시 군위군 부계면 치산효령로 989-23, 삼국유사군위휴게소",대구광역시 군위군 부계면 창평리 161 삼국유사군위휴게소,12,34,,36.079542,128.696741
공중화장실,군위영천휴게소 화장실,"대구광역시 군위군 산성면 치산효령로 865-43, 군위영천휴게소",대구광역시 군위군 산성면 백학리 산 15-2,12,34,,36.070737,128.708536
