시간,유형,메시지
"오후 1:30:15","success","[16/1397] 건국동 행정복지센터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:15","success","[16/1397] 건국동 행정복지센터 : 주소 검색 성공[road]"
"오후 1:30:15","info","[16/1397] 건국동 행정복지센터 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 건국동 행정복지센터"""
"오후 1:30:16","success","[16/1397] 건국동 행정복지센터 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (0m)"
"오후 1:30:16","info","[16/1397] 건국동 행정복지센터 : 입력좌표 vs 검색좌표 거리 = 2 m"
"오후 1:30:16","warning","[16/1397] 건국동 행정복지센터 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:16","success","[16/1397] 건국동 행정복지센터 : 변환 성공"
"오후 1:30:16","info","[17/1397] 경기장주유소 : 주소 검색 시도[road]-> ""광주광역시 북구 무등로 76"""
"오후 1:30:16","info","[17/1397] 경기장주유소 : 역지오코딩 검증 중..."
"오후 1:30:16","success","[17/1397] 경기장주유소 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:16","success","[17/1397] 경기장주유소 : 주소 검색 성공[road]"
"오후 1:30:16","info","[17/1397] 경기장주유소 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 경기장주유소"""
"오후 1:30:16","success","[17/1397] 경기장주유소 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (1m)"
"오후 1:30:16","info","[17/1397] 경기장주유소 : 입력좌표 vs 검색좌표 거리 = 2 m"
"오후 1:30:16","warning","[17/1397] 경기장주유소 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:16","success","[17/1397] 경기장주유소 : 변환 성공"
"오후 1:30:16","info","[18/1397] 광산업단지 충전소 : 주소 검색 시도[road]-> ""광주광역시 북구 삼소로 330"""
"오후 1:30:16","info","[18/1397] 광산업단지 충전소 : 역지오코딩 검증 중..."
"오후 1:30:16","success","[18/1397] 광산업단지 충전소 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:16","success","[18/1397] 광산업단지 충전소 : 주소 검색 성공[road]"
"오후 1:30:16","info","[18/1397] 광산업단지 충전소 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광산업단지 충전소"""
"오후 1:30:16","info","[18/1397] 광산업단지 충전소 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 1:30:16","info","[18/1397] 광산업단지 충전소 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:16","warning","[18/1397] 광산업단지 충전소 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:16","success","[18/1397] 광산업단지 충전소 : 변환 성공"
"오후 1:30:16","info","[19/1397] 광주개인택시조합LPG충전소 : 주소 검색 시도[road]-> ""광주광역시 북구 하서로 576"""
"오후 1:30:17","info","[19/1397] 광주개인택시조합LPG충전소 : 역지오코딩 검증 중..."
"오후 1:30:17","success","[19/1397] 광주개인택시조합LPG충전소 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:17","success","[19/1397] 광주개인택시조합LPG충전소 : 주소 검색 성공[road]"
"오후 1:30:17","info","[19/1397] 광주개인택시조합LPG충전소 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광주개인택시조합LPG충전소"""
"오후 1:30:17","success","[19/1397] 광주개인택시조합LPG충전소 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (25m)"
"오후 1:30:17","info","[19/1397] 광주개인택시조합LPG충전소 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:17","warning","[19/1397] 광주개인택시조합LPG충전소 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:17","success","[19/1397] 광주개인택시조합LPG충전소 : 변환 성공"
"오후 1:30:17","info","[20/1397] 광주광역시립민속박물관(매점) : 주소 검색 시도[road]-> ""광주광역시 북구 서하로 48-25"""
"오후 1:30:17","info","[20/1397] 광주광역시립민속박물관(매점) : 역지오코딩 검증 중..."
"오후 1:30:17","success","[20/1397] 광주광역시립민속박물관(매점) : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:17","success","[20/1397] 광주광역시립민속박물관(매점) : 주소 검색 성공[road]"
"오후 1:30:17","info","[20/1397] 광주광역시립민속박물관(매점) : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광주광역시립민속박물관"""
"오후 1:30:17","success","[20/1397] 광주광역시립민속박물관(매점) : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (33m)"
"오후 1:30:17","info","[20/1397] 광주광역시립민속박물관(매점) : 입력좌표 vs 검색좌표 거리 = 31 m"
"오후 1:30:17","warning","[20/1397] 광주광역시립민속박물관(매점) : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:17","success","[20/1397] 광주광역시립민속박물관(매점) : 변환 성공"
"오후 1:30:17","warning","[21/1397] 광주광역시립민속박물관(본관) : [Duplicate] 중복 데이터로 감지되어 건너뜁니다."
"오후 1:30:17","warning","[22/1397] 광주광역시립민속박물관(옥외) : [Duplicate] 중복 데이터로 감지되어 건너뜁니다."
"오후 1:30:17","info","[23/1397] 광주광역시장애인종합복지관 : 주소 검색 시도[road]-> ""광주광역시 북구 북문대로 219"""
"오후 1:30:17","info","[23/1397] 광주광역시장애인종합복지관 : 역지오코딩 검증 중..."
"오후 1:30:18","success","[23/1397] 광주광역시장애인종합복지관 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:18","success","[23/1397] 광주광역시장애인종합복지관 : 주소 검색 성공[road]"
"오후 1:30:18","info","[23/1397] 광주광역시장애인종합복지관 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광주광역시종합복지관"""
"오후 1:30:18","success","[23/1397] 광주광역시장애인종합복지관 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (6m)"
"오후 1:30:18","info","[23/1397] 광주광역시장애인종합복지관 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:18","warning","[23/1397] 광주광역시장애인종합복지관 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:18","success","[23/1397] 광주광역시장애인종합복지관 : 변환 성공"
"오후 1:30:18","info","[24/1397] 광주굿모닝병원 : 주소 검색 시도[road]-> ""광주광역시 북구 북문대로 182"""
"오후 1:30:18","info","[24/1397] 광주굿모닝병원 : 역지오코딩 검증 중..."
"오후 1:30:18","success","[24/1397] 광주굿모닝병원 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:18","success","[24/1397] 광주굿모닝병원 : 주소 검색 성공[road]"
"오후 1:30:18","info","[24/1397] 광주굿모닝병원 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광주굿모닝병원"""
"오후 1:30:18","success","[24/1397] 광주굿모닝병원 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (5m)"
"오후 1:30:18","info","[24/1397] 광주굿모닝병원 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:18","warning","[24/1397] 광주굿모닝병원 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:18","success","[24/1397] 광주굿모닝병원 : 변환 성공"
"오후 1:30:18","info","[25/1397] 광주도시철도공사 : 주소 검색 시도[road]-> ""광주광역시 북구 금남로 133"""
"오후 1:30:18","info","[25/1397] 광주도시철도공사 : 역지오코딩 검증 중..."
"오후 1:30:19","success","[25/1397] 광주도시철도공사 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:19","success","[25/1397] 광주도시철도공사 : 주소 검색 성공[road]"
"오후 1:30:19","info","[25/1397] 광주도시철도공사 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 광주도시철도공사"""
"오후 1:30:19","warning","[25/1397] 광주도시철도공사 : [DOUBLE-CHECK] 시설명 위치와 불일치 (5676m)"
"오후 1:30:19","info","[25/1397] 광주도시철도공사 : 입력좌표 vs 검색좌표 거리 = 4 m"
